Date,Time,Azimuth,Elevation
2025-01-01,00:00:00,358.3664217377892,-60.99183795000027
2025-01-01,00:15:00,5.474917715609536,-60.91357278576151
2025-01-01,00:30:00,12.4976811203353,-60.551991986557475
2025-01-01,00:45:00,19.33342599932496,-59.917901814715414
2025-01-01,01:00:00,25.900969745664952,-59.02907195962544
2025-01-01,01:15:00,32.144544693125795,-57.908113110224164
2025-01-01,01:30:00,38.03400764740013,-56.580211093563854
2025-01-01,01:45:00,43.56133138254188,-55.07115019920355
2025-01-01,02:00:00,48.735300071885376,-53.40585204588131
2025-01-01,02:15:00,53.57602578738772,-51.60746191169061
2025-01-01,02:30:00,58.11024496905611,-49.696895557615896
2025-01-01,02:45:00,62.367749238984175,-47.69271915614973
2025-01-01,03:00:00,66.37892983952236,-45.61123913387099
2025-01-01,03:15:00,70.17323840014467,-43.466705484013
2025-01-01,03:30:00,73.77832081580186,-41.27156482879245
2025-01-01,03:45:00,77.21961171291895,-39.03672227310819
2025-01-01,04:00:00,80.52022402222025,-36.77178891616952
2025-01-01,04:15:00,83.7010117365005,-34.485306327500815
2025-01-01,04:30:00,86.78072740062805,-32.1849436824007
2025-01-01,04:45:00,89.77622420499853,-29.87766701304896
2025-01-01,05:00:00,92.7026687757542,-27.56988471660655
2025-01-01,05:15:00,95.57374781409698,-25.267571423450626
2025-01-01,05:30:00,98.40185979840408,-22.976372402196446
2025-01-01,05:45:00,101.19828464438706,-20.701693225229764
2025-01-01,06:00:00,103.97333076238039,-18.448776236027665
2025-01-01,06:15:00,106.73646045681198,-16.22276495828704
2025-01-01,06:30:00,109.49639210288632,-14.028759892747706
2025-01-01,06:45:00,112.26118123793611,-11.87186596049104
2025-01-01,07:00:00,115.0382827132463,-9.75723156112248
2025-01-01,07:15:00,117.83459266346631,-7.690081488684488
2025-01-01,07:30:00,120.65647224257697,-5.675742940075062
2025-01-01,07:45:00,123.50975502980327,-3.719663699297356
2025-01-01,08:00:00,126.39973662954179,-1.8274237779054368
2025-01-01,08:15:00,129.33114844376894,0.4771330021920462
2025-01-01,08:30:00,132.30811797458944,2.0411818498023004
2025-01-01,08:45:00,135.3341149545082,3.6181433896615176
2025-01-01,09:00:00,138.41188668921689,5.147910846650803
2025-01-01,09:15:00,141.54338697128264,6.603056111120821
2025-01-01,09:30:00,144.72970021231947,7.968640821505605
2025-01-01,09:45:00,147.97096707393212,9.234476449968007
2025-01-01,10:00:00,151.26631907052723,10.392490537194373
2025-01-01,10:15:00,154.6138265157084,11.435762669832235
2025-01-01,10:30:00,158.01046839495802,12.358164111564282
2025-01-01,10:45:00,161.45213274933894,13.154241993473871
2025-01-01,11:00:00,164.93365113159007,13.819210479419104
2025-01-01,11:15:00,168.44887291563055,14.348990276384466
2025-01-01,11:30:00,171.99078279572927,14.740267230975656
2025-01-01,11:45:00,175.55165730525778,14.9905526930238
2025-01-01,12:00:00,179.1232568314383,15.09823538895315
2025-01-01,12:15:00,182.69704627190833,15.062617729745432
2025-01-01,12:30:00,186.2644303765241,14.883932056128012
2025-01-01,12:45:00,189.8169924141654,14.563335246345982
2025-01-01,13:00:00,193.34672445386985,14.102882071796156
2025-01-01,13:15:00,196.84623428301225,13.505480481480806
2025-01-01,13:30:00,200.30892061339463,12.774834482304778
2025-01-01,13:45:00,203.72911128766495,11.915382896788815
2025-01-01,14:00:00,207.10215854579047,10.932247704706958
2025-01-01,14:15:00,210.4244931190263,9.83121366321355
2025-01-01,14:30:00,213.69364173869158,8.618779548926138
2025-01-01,14:45:00,216.9082108154971,7.302370007995773
2025-01-01,15:00:00,220.06784452089823,5.890925168505732
2025-01-01,15:15:00,223.17316586492666,4.3964751211318625
2025-01-01,15:30:00,226.22570538973136,2.838600176634979
2025-01-01,15:45:00,229.2278254055127,1.2576270777420941
2025-01-01,16:00:00,232.18264657941472,-0.9001074803974298
2025-01-01,16:15:00,235.0939790274686,-2.7578088318586245
2025-01-01,16:30:00,237.96626275614392,-4.682168975104323
2025-01-01,16:45:00,240.80452123985717,-6.667535288163851
2025-01-01,17:00:00,243.61432771458078,-8.708389567105511
2025-01-01,17:15:00,246.40178675949352,-10.79934023478422
2025-01-01,17:30:00,249.17353326128392,-12.93510770492363
2025-01-01,17:45:00,251.9367473131879,-15.110501757114857
2025-01-01,18:00:00,254.69918693297654,-17.320391953214905
2025-01-01,18:15:00,257.46924049076694,-19.559672006956987
2025-01-01,18:30:00,260.25599751798137,-21.823216035804133
2025-01-01,18:45:00,263.069339992592,-24.105826895201712
2025-01-01,19:00:00,265.9200562386837,-26.402176527876872
2025-01-01,19:15:00,268.81997603403227,-28.706735101947334
2025-01-01,19:30:00,271.7821282810184,-31.013688014996756
2025-01-01,19:45:00,274.8209215075974,-33.31683944996887
2025-01-01,20:00:00,277.95234166947046,-35.60949796359598
2025-01-01,20:15:00,281.1941611448493,-37.88434205153373
2025-01-01,20:30:00,284.56614645223095,-40.13326354272018
2025-01-01,20:45:00,288.0902377969193,-42.34718429134247
2025-01-01,21:00:00,291.7906608734015,-44.51584569261427
2025-01-01,21:15:00,295.6939077090081,-46.627573277708336
2025-01-01,21:30:00,299.8284852923365,-48.66902131325705
2025-01-01,21:45:00,304.22429136580274,-50.62491429253257
2025-01-01,22:00:00,308.91142891214224,-52.47781675279237
2025-01-01,22:15:00,313.9182268106939,-54.20798196025196
2025-01-01,22:30:00,319.2682421288704,-55.79336053562878
2025-01-01,22:45:00,324.9761221281827,-57.20987936180549
2025-01-01,23:00:00,331.0424708290619,-58.43211765016043
